IDP,modality,subtype,pc1_name,region,side,measurement_type,dmri_measure,t1_anatomy_group,notes,ukb_link
IDP-25002,T1,Total,NA,peripheral cortical grey matter,NA,Other T1 measurements,NA,Total,Volume of peripheral cortical grey matter (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25002
IDP-25004,T1,Total,NA,ventricular cerebrospinal fluid,NA,Other T1 measurements,NA,Total,Volume of ventricular cerebrospinal fluid (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25004
IDP-25006,T1,Total,NA,grey matter,NA,Other T1 measurements,NA,Total,Volume of grey matter (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25006
IDP-25008,T1,Total,NA,white matter,NA,Other T1 measurements,NA,Total,Volume of white matter (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25008
IDP-25010,T1,Total,NA,"brain, grey+white",NA,Other T1 measurements,NA,Total,"Volume of brain, grey+white, from T1 brain image",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25010
IDP-25011,T1,Subcortical,PC-Subcortical_vol-1,thalamus,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left thalamus (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25011
IDP-25012,T1,Subcortical,PC-Subcortical_vol-1,thalamus,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right thalamus (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25012
IDP-25013,T1,Subcortical,PC-Subcortical_vol-1,caudate,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left caudate (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25013
IDP-25014,T1,Subcortical,PC-Subcortical_vol-1,caudate,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right caudate (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25014
IDP-25015,T1,Subcortical,PC-Subcortical_vol-1,putamen,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left putamen (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25015
IDP-25016,T1,Subcortical,PC-Subcortical_vol-1,putamen,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right putamen (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25016
IDP-25017,T1,Subcortical,PC-Subcortical_vol-1,pallidum,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left pallidum (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25017
IDP-25018,T1,Subcortical,PC-Subcortical_vol-1,pallidum,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right pallidum (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25018
IDP-25019,T1,Subcortical,PC-Subcortical_vol-1,hippocampus,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left hippocampus (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25019
