IDP	nh2	phi
IDP-25056	-1.12584323090894e-07	5.27587945728888e-05
IDP-25057	1.42024154807713e-07	5.30134030507874e-05
IDP-25058	-1.21747989325707e-07	5.2749630906654e-05
IDP-25059	1.59353358388407e-06	5.44649124798638e-05
IDP-25060	-8.48445081682171e-07	5.20229338142975e-05
IDP-25061	-3.76520248596004e-06	4.91061764100196e-05
IDP-25062	8.00873952227006e-07	5.36722528482067e-05
IDP-25063	-6.18384119978341e-07	5.22529947760013e-05
IDP-25064	-7.28056582175257e-07	5.21433223138044e-05
IDP-25065	-1.74769984174557e-06	5.11236790542341e-05
IDP-25066	3.67724832551036e-07	5.32391037285307e-05
IDP-25067	1.05245683684982e-06	5.39238357328295e-05
IDP-25068	-3.0831758577196e-07	5.25630613102077e-05
IDP-25069	-2.31803861007152e-06	5.05533402859082e-05
IDP-25070	-1.86966180379417e-07	5.26844127156003e-05
IDP-25071	-1.58322332427715e-06	5.12881555717025e-05
IDP-25072	-1.1868927128843e-06	5.16844861830954e-05
IDP-25073	2.37647601868816e-06	5.52478549146678e-05
IDP-25074	-2.00941723034849e-06	5.08619616656312e-05
IDP-25075	-2.5505134326988e-06	5.03208654632809e-05
IDP-25076	5.80729843211639e-06	5.86786773280961e-05
IDP-25077	4.37287897189982e-06	5.72442578678795e-05
IDP-25078	-2.5065909390634e-06	5.03647879569163e-05
IDP-25079	-2.9404724981097e-06	4.993090639787e-05
IDP-25080	-2.73314232596066e-06	5.0138236570019e-05
IDP-25081	-1.12710065452196e-07	5.27586688305275e-05
IDP-25082	-8.63811490223732e-07	5.2007567405756e-05
IDP-25083	3.68824099431669e-06	5.65596198902964e-05
IDP-25084	2.45980867583062e-06	5.53311875718103e-05
IDP-25085	1.76147732765754e-06	5.46328562236372e-05
IDP-25086	2.63125666449444e-07	5.31345045624291e-05
IDP-25087	3.92408784009158e-06	5.67954667360713e-05
IDP-25088	-2.48264939465817e-06	5.03887295013215e-05
IDP-25089	-1.89222431576732e-06	5.09791545802124e-05
IDP-25090	1.33781844946893e-06	5.42091973454486e-05
IDP-25091	-2.26577955644907e-06	5.06055993395306e-05
IDP-25092	-4.34326779789299e-06	4.85281110980867e-05
IDP-25093	-1.58040331894382e-06	5.12909755770359e-05
IDP-25094	-2.6899744873353e-06	5.01814044086444e-05
IDP-25095	3.9799744951112e-07	5.32693763454908e-05
IDP-25096	-4.67927247546991e-06	4.81921064205098e-05
IDP-25097	-1.42918485352661e-06	5.14421940424531e-05
IDP-25098	-1.01213362432239e-06	5.18592452716573e-05
IDP-25099	-2.35363662928409e-06	5.05177422666956e-05
IDP-25100	1.96749014021472e-06	5.48388690361944e-05
IDP-25101	1.52104075133601e-06	5.43924196473157e-05
IDP-25102	-2.83003183130205e-06	5.00413470646776e-05
IDP-25103	-2.10546332827621e-06	5.07659155677035e-05
IDP-25344	2.07343941654828e-06	5.4944818312528e-05
IDP-25345	-6.48777144847345e-07	5.22226017511323e-05
IDP-25346	-3.32872365452474e-06	4.95426552414549e-05
IDP-25347	-8.4979425525575e-07	5.20215846407239e-05
IDP-25348	-4.87638401311266e-06	4.7994994882867e-05
IDP-25349	2.39573867941942e-07	5.31109527639216e-05
IDP-25350	3.07105449241271e-06	5.59424333883924e-05
IDP-25351	5.12723511732015e-06	5.79986140132998e-05
IDP-25352	1.75531722073817e-06	5.46266961167178e-05
IDP-25353	1.77468657449161e-06	5.46460654704713e-05
IDP-25354	-1.51331801467358e-06	5.13580608813061e-05
IDP-25355	-2.4648052001218e-06	5.04065736958579e-05
IDP-25356	-1.23307093720916e-06	5.16383079587705e-05
IDP-25357	-2.84206592230861e-06	5.00293129736711e-05
IDP-25358	-6.59509247526088e-06	4.62762864207188e-05
IDP-25359	-4.76096933319079e-06	4.81104095627889e-05
IDP-25360	1.39633926451462e-06	5.42677181604943e-05
IDP-25361	-1.24318216908886e-06	5.16281967268908e-05
IDP-25362	-1.65749029055383e-06	5.12138886054258e-05
IDP-25363	-2.38219422660408e-06	5.04891846693756e-05
IDP-25364	-1.81052713123648e-06	5.10608517647432e-05
IDP-25365	-9.99200311914903e-07	5.18721785840648e-05
IDP-25366	-1.69625907011813e-06	5.11751198258615e-05
IDP-25367	-1.4409231466344e-06	5.14304557493453e-05
IDP-25368	-2.19625801356783e-06	5.06751208824119e-05
IDP-25369	-2.84480678927076e-06	5.00265721067089e-05
